Feature,Ridge_L2,Lasso_L1,Elastic_Net
glucose,0.06478180434062027,0.013199352190046709,0.024513336093539423
cgm_quality_flag,-0.0010577660587349855,-0.0,-0.0
insulin_bolus,0.0005047829860130333,-0.0,-0.0
insulin_basal,-0.0007138133445147524,-0.0,-0.0
carbs,-0.0019753783457328363,-0.0,-0.0
meal_type,-0.003206742867761803,0.0,0.0
exercise_steps,0.0016917793251382178,0.0,0.0
exercise_intensity,0.005219668622872188,0.0,0.0
heart_rate,0.00020503912272050836,0.0,0.0
skin_temp,2.8900452797586228e-05,-0.0,-0.0
gsr,0.000266622973383759,0.0,0.0
sleep_stage,-0.0004985359639653929,0.0,-0.0
medication_other,-0.003067758353177427,-0.0,-0.0
stress_level,-0.001306895358365733,-0.0,-0.0
alcohol,8.713136651655848e-05,-0.0,-0.0
device_id,-0.02776755946289785,0.0,0.0005386359562147627
hbA1c,-0.19501412128982695,-0.04200817933855364,-0.04960910602634727
age,0.04816915211334356,0.0,0.0
sex,-0.11618668299373927,-0.0,-0.0
weight,-0.1585877808433715,-0.0,-0.0
carb_ratio,0.051463899459691174,-0.0,-0.009035967447586933
insulin_sensitivity,0.104732561178839,0.0,0.002765487372843456
timezone,-0.10352052094602508,0.01666010434899324,0.03726035379829676
region,-0.1253158954673225,-0.0,-0.0
glucose_lag_1,0.04900860341289133,0.05502171579324341,0.025144036267402893
glucose_lag_3,-0.01967362894377726,0.0,0.01154973687789515
glucose_lag_6,0.05388488868180196,0.0040210522790329216,0.012636600607795515
glucose_roll_mean_1h,-0.06043631653809054,0.0,0.011068558335256147
glucose_roc_per_min,-0.0013869994136315896,-0.0,-0.0
