Feature,Importance
numeric__glucose_lag_1,0.377400505438473
numeric__gsr,0.10816739276549578
numeric__heart_rate,0.09657770210278514
numeric__insulin_basal,0.08804948726848896
numeric__glucose_roll_mean_1h,0.08242471306804658
numeric__skin_temp,0.06501177744313788
numeric__glucose_lag_6,0.06082682531792397
numeric__glucose_lag_3,0.05746246387569467
categorical__medication_other_steroid,0.02110970216306446
categorical__sleep_stage_light,0.010511374771946639
categorical__sleep_stage_awake,0.009014866656930036
categorical__sleep_stage_deep,0.00540160084094044
categorical__medication_other_none,0.004196721516182912
numeric__stress_level,0.004163932767390142
numeric__alcohol,0.003752725176395042
categorical__medication_other_beta_blocker,0.003557298251547475
categorical__medication_other_antihistamine,0.0022734356263463323
numeric__hbA1c,9.74749491723361e-05
numeric__cgm_quality_flag,3.568408414328954e-14
categorical__exercise_intensity_medium,2.051424025595382e-15
categorical__meal_type_dinner,3.7761200173133065e-16
categorical__exercise_intensity_high,1.0792013231635104e-16
categorical__sleep_stage_REM,9.136527149125634e-17
categorical__sex_M,6.123157869112203e-17
categorical__meal_type_breakfast,1.7173715525385178e-17
numeric__insulin_bolus,0.0
numeric__exercise_steps,0.0
numeric__carbs,0.0
numeric__age,0.0
numeric__carb_ratio,0.0
categorical__meal_type_lunch,0.0
numeric__insulin_sensitivity,0.0
numeric__weight,0.0
categorical__exercise_intensity_low,0.0
categorical__exercise_intensity_none,0.0
categorical__meal_type_none,0.0
categorical__meal_type_snack,0.0
categorical__sex_F,0.0
