Feature,Importance
numeric__glucose_lag_3,0.3047272520469481
numeric__glucose_lag_1,0.30185690885498895
numeric__glucose_roll_mean_1h,0.21016857226785293
numeric__glucose_lag_6,0.09779423133697915
numeric__hbA1c,0.03581824229152846
numeric__insulin_sensitivity,0.016555553003687277
numeric__age,0.011085995540420716
numeric__carb_ratio,0.0074044183766799
categorical__sex_M,0.002593498379614428
numeric__weight,0.001808310027315878
numeric__insulin_basal,0.0016183907001233665
numeric__gsr,0.0015953291501413247
numeric__heart_rate,0.0015291566497724323
categorical__sex_F,0.0012216959179452492
numeric__skin_temp,0.0011956598614301565
categorical__medication_other_steroid,0.000773344286987987
numeric__stress_level,0.0006879112853511969
categorical__sleep_stage_deep,0.0003203275269035924
categorical__sleep_stage_light,0.00026160177357972245
categorical__medication_other_beta_blocker,0.00017802545564824077
numeric__insulin_bolus,0.00016772161297330353
categorical__medication_other_antihistamine,0.00015099893188614397
categorical__medication_other_none,0.00014104644354591905
categorical__sleep_stage_awake,0.00010238705724709204
categorical__sleep_stage_REM,0.00010007557988050568
categorical__exercise_intensity_none,7.449595366236423e-05
numeric__exercise_steps,3.282371562086994e-05
categorical__exercise_intensity_low,1.391614358719358e-05
numeric__carbs,8.416734995898053e-06
categorical__meal_type_breakfast,6.1550547283265785e-06
categorical__meal_type_dinner,3.937980427941975e-06
numeric__alcohol,1.5590335480760711e-06
categorical__exercise_intensity_medium,1.0777901406526026e-06
categorical__meal_type_snack,6.917845127232856e-07
categorical__meal_type_none,2.5364277679860167e-07
numeric__cgm_quality_flag,1.7806566897349218e-08
categorical__meal_type_lunch,0.0
categorical__exercise_intensity_high,0.0
